0,0
64,221
128,442
256,885
384,1328
512,1771
640,2231
768,2674
896,3116
1024,3576
1280,4422
1536,5250
1792,5950
2048,6600
2304,7200
2560,7750
2816,8250
3072,8750
3584,9550
4096,10280
4608,10950
5120,11500
6144,12430
7168,13200
8192,13850
9216,14440
10240,14880
11264,15280
12288,15600
13312,15850
14336,16080
16383,16383
